Категория,Артикул,Бренд,Фото (ссылка),Фото (ссылка) 2,,,,Фото (ссылка) 3,Размер,Описание,Материал,Покрытие,Камень,Цена,Количество,Коллекции,
серьги,LA2L146,La2L,https://drive.google.com/file/d/1mhQf3Wjx4HwNyChdC14G2m4cR3RwoFzE/view?usp=drive_link,https://drive.google.com/file/d/1bilRFPtlR1YCBvF-QhC68KXS5JN1DOF5/view?usp=drive_link,,,,,1 см,"Пусеты Змейки

Деликатные пусеты в форме свернувшейся змейки.

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.
"," 
Латунь
 ",Позолота," 

 ",35 000,3,,
серьги,LA2L131/3,La2L,https://drive.google.com/file/d/1BC4aQAAFkUAzbo8FUDmqFSKEYMcYYLyK/view?usp=drive_link,,,,,,1.8 см,"Пусеты Змейки с камнями 
Серьги интересной формы - хвостик змейки будто обвивает ушко. 

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.

"," 
Латунь
 
 "," 

Позолота 
 ",Аметист,45 000,1,,
серьги,LA2L123,La2L,https://drive.google.com/file/d/1hqHH6S4Em4UmoRvBOIKeK9UIeDSFojvL/view?usp=drive_link,https://drive.google.com/file/d/1OdB4aBsKiT1BShcd0f2JNtEGYlgo-WV0/view?usp=drive_link,https://drive.google.com/file/d/1OPYMGvOqlECBAU-RZzqIzyGTMu0LPZK6/view?usp=drive_link,https://drive.google.com/file/d/1U2qwrmxp8rZV5RYeXI8DY1K5g4gVfdje/view?usp=drive_link,,,ø 2 см,"Пусеты Змейки-кольца

В этих серьгах змейки обыграны так, что кажется змейка переплелась вокруг ушка - классный и очень стильный эффект!

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.
"," 
Латунь
 "," 

Позолота "," 

 ",57 000,3,,
серьги,LA2L136/1,La2L,https://drive.google.com/file/d/14eLh7dv2tMwKPQQOSOCVtHUDB27u-UU_/view?usp=drive_link,,,,,,2 см,"Пусеты Цветок с подвеской

Нежные серьги с подвеской-капелькой 
"," 
Латунь
 
   "," 

Позолота 
  ",  Голубой Турмалин,41 000,2,,
серьги,LA2L148/1,La2L,https://drive.google.com/file/d/1tk3xq2cbHuAPruyJw-DVPmkkEZg2d-Wt/view?usp=drive_link,,,,,,1.2 см,"Пусеты Sacha стрела и сердце

Асимметричные серьги, их можно надеть на разные ушки или на одно на два прокола.

Сердце: 1.2 см
Стрела: 1.5 см"," 
Латунь
 
 "," 

Позолота 
 ", Гранат,45 000,2,,
серьги,LA2L148/2,La2L,https://drive.google.com/file/d/1Gg2O18q2SJAajh-uU9qW6uynAERiaeTq/view?usp=drive_link,,,,,,1.2 см,"Пусеты Sacha стрела и сердце

Асимметричные серьги, их можно надеть на разные ушки или на одно на два прокола.

Сердце: 1.2 см
Стрела: 1.5 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Змеевик",45 000,1,,
серьги,LA2L18/2,La2L,https://drive.google.com/file/d/1PDsPknlEkLz4xQCFgqCSLQWTZJHiKZGR/view?usp=drive_link,https://drive.google.com/file/d/16og1kOLIIpb_NgLkZw7DjU8fbjnSBRGv/view?usp=drive_link,,,,,2 см,"Моно серьга Heart

Моно серьга с подвеской две Змеи и Сердце"," 
Латунь
 "," 

Позолота 
",Сердолик,35 000,1,,
серьги,LA2L18/3,La2L,https://drive.google.com/file/d/1rvY0s6-0wRSLZI2YesxzKUdNnWVa3toL/view?usp=drive_link,,,,,,1.7 см,"Моно серьга Snake in hands

Моно серьга с  подеской Рука и Змея"," 
Латунь
 "," 

Позолота "," 

 ",35 000,1,,
серьги,LA2L147/1,La2L,https://drive.google.com/file/d/1HtOsfVIwjY0zo4BXVUxu5KqViqxwsmlS/view?usp=drive_link,,,,,,1.2 см,"Моно серьга Aye and snake 

Моно серьга с подвеской Глаз и Змея"," 
Латунь
 "," 

Позолота "," 

 ",35 000,3,,
серьги,LA2L147/2,La2L,https://drive.google.com/file/d/1f6Zo_5EXf4J94C_GS5ooft3zJVCZLdKR/view?usp=drive_link,,,,,,1.5 см,"Моно серьга Aye 

Моно серьга с медальоном Глаз"," 
Латунь
 "," 

Позолота "," 

 ",35 000,3,,
